Parameter i0,P i1,P k0,P k1,P order0,P order1,P order2,P order3,P mode0,P mode1,P mode2,P mode3,P j0,P j1,P lorder0,P lorder1,P lorder2,P lorder3,P lorder4,P lorder5,P para,P vec,P unroll,P un_fac,P parchunk,Mapped X,Mapped Y,Mapped,Execution Time
128,256,2048,16,k0,i0,k1,i1,1,1,0,1,4,32,j0,k0,i0,k1,j1,i1,j0,None,k0,128,8,3,16,316,135.43301391601562
512,64,128,256,k0,i0,i1,k1,2,1,0,1,2,64,j0,k0,i0,j1,i1,k1,j0,None,None,0,4,16,37,1637,199.76663208007812
512,64,8192,4,k0,i0,k1,i1,2,1,0,1,2,64,k0,j0,i0,j1,k1,i1,j0,None,None,0,8,32,6,3206,185.32310485839844
512,64,128,256,k0,i0,k1,i1,2,1,0,1,2,64,j0,k0,i0,k1,i1,j1,j0,j1,k0,512,4,7,14,714,27.449792861938477
128,256,128,256,i0,k0,k1,i1,0,1,1,2,4,32,j0,i0,k0,k1,i1,j1,None,j1,i0,128,16,31,15,3115,26.21701431274414
512,64,8192,4,k0,i0,i1,k1,2,2,1,1,64,2,j0,k0,i0,j1,i1,k1,j0,None,j1,2,4,21,8,2108,74.18785858154297
128,256,128,256,k0,i0,k1,i1,1,1,0,2,4,32,j0,k0,i0,k1,j1,i1,None,None,k0,128,16,31,16,3116,90.53878021240234
512,64,8192,4,k0,i0,k1,i1,2,1,1,2,64,2,j0,k0,i0,j1,k1,i1,j0,None,None,0,4,24,7,2407,72.39747619628906
128,256,128,256,i0,k0,k1,i1,0,1,1,2,4,32,j0,i0,k0,k1,j1,i1,None,None,i0,128,32,15,37,1537,91.56128692626953
128,256,2048,16,k0,i0,k1,i1,1,1,0,2,4,32,j0,k0,i0,k1,j1,i1,None,None,k0,128,8,3,16,316,83.48479461669922
128,256,128,256,i0,k0,k1,i1,0,1,1,0,4,32,j0,i0,k0,k1,j1,i1,None,None,k1,256,16,15,37,1537,140.001953125
256,128,128,256,i0,k0,k1,i1,0,1,1,2,4,32,j0,i0,k0,k1,j1,i1,None,None,i0,128,16,15,37,1537,71.20147705078125
256,128,2048,16,k0,i0,k1,i1,2,1,0,2,4,32,j0,k0,i0,k1,j1,i1,None,None,k0,256,16,0,36,36,79.3021469116211
128,256,2048,16,k0,i0,k1,i1,1,1,0,2,4,32,j0,k0,i0,k1,j1,i1,None,None,k0,128,8,3,16,316,84.63874053955078
256,128,2048,16,i0,k0,k1,i1,0,2,2,2,4,32,j0,i0,k0,k1,j1,i1,None,None,i0,2048,8,0,8,8,86.65662384033203
128,256,2048,16,i0,k0,k1,i1,0,1,1,2,4,32,j0,i0,k0,k1,j1,i1,None,None,i0,2048,4,0,37,37,88.29833221435547
128,256,2048,16,k0,i0,k1,i1,1,2,0,2,4,32,j0,k0,i0,k1,j1,i1,None,None,k0,128,16,1,26,126,78.75243377685547
128,256,128,256,i0,k0,k1,i1,0,2,2,1,4,32,j0,i0,k0,k1,j1,i1,j0,None,None,0,16,16,8,1608,154.43011474609375
512,64,8192,4,k0,i0,i1,k1,2,2,1,2,2,64,j0,k0,i0,j1,i1,k1,None,None,None,0,4,24,8,2408,103.4756088256836
512,64,8192,4,k0,i0,i1,k1,2,1,1,2,2,64,j0,k0,i0,j1,i1,k1,None,None,j1,64,4,0,38,38,110.21082305908203
128,256,2048,16,i0,k0,k1,i1,0,0,0,1,4,32,j0,i0,k0,k1,j1,i1,j0,None,i0,2048,16,0,26,26,223.9942626953125
128,256,2048,16,i0,k0,k1,i1,0,1,1,2,4,32,j0,i0,k0,k1,j1,i1,j0,None,i0,2048,8,0,37,37,130.05445861816406
128,256,128,256,i0,k0,k1,i1,0,1,1,1,4,32,j0,i0,k0,k1,i1,j1,j0,j1,None,0,16,16,15,1615,33.3896484375
128,256,128,256,k0,i0,k1,i1,1,1,0,1,4,32,j0,k0,i0,k1,j1,i1,j0,None,None,0,16,16,16,1616,124.15437316894531
512,64,8192,4,k0,i0,k1,i1,2,1,0,1,64,2,j0,k0,i0,j1,k1,i1,None,None,None,0,4,24,6,2406,310.76568603515625
128,256,128,256,i0,k0,k1,i1,0,1,1,1,4,32,j0,i0,k0,k1,j1,i1,j0,None,None,0,32,8,37,837,118.5729751586914
128,256,2048,16,i0,k0,k1,i1,0,1,1,2,4,32,j0,i0,k0,k1,j1,i1,j0,None,i0,2048,8,0,37,37,133.2521209716797
128,256,2048,16,k0,i0,k1,i1,1,1,0,1,4,32,j0,k0,i0,k1,j1,i1,j0,None,k0,128,8,3,16,316,138.05502319335938
128,256,128,256,i0,k0,k1,i1,0,1,1,2,4,32,j0,i0,k0,k1,j1,i1,j0,None,None,0,16,16,37,1637,118.2969741821289
256,128,2048,16,i0,k0,k1,i1,0,1,1,2,4,32,j0,i0,k0,k1,j1,i1,j0,None,i0,2048,16,0,37,37,132.3672637939453
128,256,128,256,i0,k0,k1,i1,0,1,1,2,4,32,j0,i0,k0,k1,j1,i1,None,None,i0,128,16,31,37,3137,96.15640258789062
256,128,2048,16,k0,i0,k1,i1,1,1,0,1,4,32,j0,k0,i0,k1,j1,i1,j0,None,k0,256,16,0,16,16,132.0591278076172
128,256,2048,16,k0,i0,k1,i1,1,1,0,1,4,32,j0,k0,i0,k1,j1,i1,j0,None,k0,128,8,3,16,316,137.5771942138672
256,128,2048,16,i0,k0,k1,i1,0,1,1,1,4,32,j0,i0,k0,k1,j1,i1,j0,None,i0,2048,8,0,37,37,131.21620178222656
128,256,2048,16,i0,k0,k1,i1,0,1,1,1,4,32,j0,i0,k0,k1,j1,i1,j0,None,i0,2048,4,0,37,37,130.20669555664062
128,256,2048,16,k0,i0,k1,i1,1,1,0,2,4,32,j0,k0,i0,k1,j1,i1,j0,None,k0,128,16,1,16,116,132.54351806640625
128,256,2048,16,i0,k0,k1,i1,0,1,1,1,4,32,j0,i0,k0,k1,j1,i1,j0,None,None,0,8,32,37,3237,131.49661254882812
512,64,128,256,k0,i0,k1,i1,2,1,0,1,2,64,j0,k0,i0,j1,k1,i1,j0,None,k0,512,4,7,6,706,144.56101989746094
512,64,8192,4,k0,i0,k1,i1,2,1,0,1,2,64,j0,k0,i0,j1,k1,i1,None,None,None,0,8,32,6,3206,100.83931732177734
512,64,8192,4,k0,i0,k1,i1,2,1,1,2,2,64,j0,k0,i0,j1,k1,i1,None,None,j1,64,4,0,7,7,112.5759506225586
128,256,128,256,i0,k0,k1,i1,0,1,1,1,4,32,j0,i0,k0,k1,i1,j1,None,j1,i0,128,32,15,15,1515,24.395666122436523
512,64,8192,4,k0,i0,i1,k1,2,1,0,1,64,2,j0,k0,i0,j1,i1,k1,j0,None,k0,512,8,0,37,37,107.38875579833984
128,256,128,256,k0,i0,k1,i1,1,1,0,1,4,32,j0,k0,i0,k1,j1,i1,None,None,k0,128,32,15,16,1516,82.60246276855469
512,64,8192,4,k0,i0,k1,i1,2,1,0,1,64,2,j0,k0,i0,j1,k1,i1,j0,None,None,0,8,32,6,3206,105.8796615600586
128,256,128,256,i0,k0,k1,i1,0,1,1,1,4,32,j0,i0,k0,k1,j1,i1,None,None,i0,128,64,7,37,737,68.5997543334961
128,256,2048,16,i0,k0,k1,i1,0,1,1,2,4,32,j0,i0,k0,k1,j1,i1,None,None,i0,2048,4,0,37,37,76.05452728271484
128,256,2048,16,k0,i0,k1,i1,1,1,0,1,4,32,j0,k0,i0,k1,j1,i1,None,None,k0,128,4,7,16,716,88.41624450683594
128,256,128,256,i0,k0,k1,i1,0,1,1,2,4,32,j0,i0,k0,k1,j1,i1,None,None,i0,128,32,15,37,1537,89.76402282714844
256,128,2048,16,i0,k0,k1,i1,0,1,1,2,4,32,j0,i0,k0,k1,j1,i1,None,None,i0,2048,8,0,37,37,102.46512603759766
128,256,128,256,i0,k0,k1,i1,0,1,1,2,4,32,j0,i0,k0,k1,j1,i1,None,None,i0,128,32,15,37,1537,79.68122100830078
256,128,128,256,i0,k0,k1,i1,0,1,1,1,4,32,j0,i0,k0,k1,j1,i1,None,None,i0,128,32,7,37,737,70.74954986572266
128,256,2048,16,i0,k0,k1,i1,0,1,1,2,4,32,j0,i0,k0,k1,j1,i1,None,None,i0,2048,4,0,37,37,88.09600830078125
256,128,2048,16,k0,i0,k1,i1,1,1,0,1,4,32,j0,k0,i0,k1,j1,i1,None,None,k0,256,8,0,16,16,98.73770141601562
128,256,2048,16,k0,i0,k1,i1,1,1,0,2,4,32,j0,k0,i0,k1,j1,i1,None,None,k0,128,8,3,16,316,90.15636444091797
128,256,128,256,i0,k0,k1,i1,0,1,1,1,4,32,j0,i0,k0,k1,j1,i1,j0,None,None,0,32,8,37,837,118.5356674194336
512,64,8192,4,k0,i0,i1,k1,2,2,1,1,2,64,j0,k0,i0,j1,i1,k1,None,None,None,0,8,32,8,3208,125.61481475830078
