name,method,config command,csr_time,best_time
t2dal_a_8x4_3,p_searching,2 i 2 i0 4096 i1 4 k 2 k0 256 k1 32 1 A 4 i0 k0 i1 k1 A 4 i0 0 i1 0 k0 1 k1 1 1 j 2 j0 128 j1 1 6 i0 k0 i1 k1 j0 j1 i0 j1 j0 128 128 2,2.5739712715148926,2.39111532
EX1_8x8_4,random_searching,2 i 2 i0 4096 i1 1 k 2 k0 128 k1 32 1 A 4 i0 k0 k1 i1 A 4 i0 0 i1 0 k0 1 k1 2 1 j 2 j0 16 j1 8 6 i0 k0 j0 k1 j1 i1 i0 None j0 16 128 16,3.0768275260925293,2.0947156
EX1_8x8_4,p_searching,2 i 2 i0 4096 i1 1 k 2 k0 512 k1 8 1 A 4 i0 i1 k0 k1 A 4 i0 0 i1 1 k0 1 k1 0 1 j 2 j0 1 j1 128 6 i0 i1 j0 k0 j1 k1 i0 None None 0 128 4,3.2217769622802734,1.46327986
name,method,config command,csr_time,best_time
name,method,config command,csr_time,best_time
name,method,config command,csr_time,best_time
bcsstk38,q_sa_searching,2 i 2 i0 256 i1 16 k 2 k0 32 k1 128 1 A 4 i0 i1 k0 k1 A 4 i0 0 i1 0 k0 0 k1 1 1 j 2 j0 1 j1 128 6 i0 i1 j0 k0 k1 j1 i0 None j1 128 128 1,0.8717275857925415,0.7608942200000002
mhd4800a,q_sa_searching,2 i 2 i0 256 i1 16 k 2 k0 32 k1 128 1 A 4 i0 k0 i1 k1 A 4 i0 0 i1 0 k0 1 k1 1 1 j 2 j0 8 j1 16 6 i0 k0 i1 j0 k1 j1 i0 j1 i1 16 128 1,0.27666065096855164,0.21081232
conf5_0-4x4-18,q_sa_searching,2 i 2 i0 256 i1 8 k 2 k0 8 k1 256 1 A 4 i0 i1 k0 k1 A 4 i0 1 i1 0 k0 1 k1 1 1 j 2 j0 16 j1 8 6 i0 i1 k0 j0 k1 j1 i0 None None 0 128 1,0.29477888345718384,0.18066619999999997
cca,q_sa_searching,2 i 2 i0 1024 i1 32 k 2 k0 128 k1 256 1 A 4 i0 k0 k1 i1 A 4 i0 1 i1 1 k0 2 k1 4 1 j 2 j0 1 j1 128 6 i0 k0 k1 i1 j0 j1 i0 None None 0 128 4,0.8722182512283325,4.364586
