P i1,P k1,P j1,P lorder0,P lorder1,P lorder2,P lorder3,P lorder4,P lorder5,P mode0,P mode1,P mode2,P mode3,P para,P nt,P parchunk,Mapped X,Mapped Y,Mapped,Execution Time
8,8,64,i1,i0,k1,k0,j1,j0,1,0,0,0,i1,48,256,0,23,23,1.178747534751892
4,32,32,i1,k1,j1,i0,k0,j0,0,0,0,0,i1,48,256,0,13,13,1.354995846748352
2,64,32,i1,i0,k1,k0,j1,j0,0,0,0,0,i1,48,32,4,23,423,1.390636682510376
4,32,128,i1,i0,k1,k0,j1,j0,1,0,0,0,i1,48,256,0,23,23,1.3352229595184326
4,256,128,i1,i0,k1,j1,k0,j0,1,0,0,0,i1,48,16,24,13,2413,1.3783440589904785
4,64,32,i1,k1,k0,i0,j1,j0,0,0,0,0,i1,48,128,2,3,203,1.3125123977661133
4,16,128,i1,j1,k1,k0,i0,j0,1,0,0,0,i1,48,64,1,3,103,1.2970541715621948
4,256,4,i1,i0,k1,k0,j1,j0,0,0,0,0,i1,48,256,4,23,423,1.3419660329818726
1,16,32,i1,i0,k1,k0,j1,j0,1,1,0,0,i1,48,64,0,3,3,1.3777028322219849
1,128,128,i1,i0,k1,k0,j1,j0,0,0,0,0,i1,48,256,0,23,23,1.3394534587860107
1,2,128,i1,i0,j1,k1,k0,j0,1,1,0,0,i1,48,128,0,13,13,1.3197520971298218
4,256,32,i1,k1,k0,i0,j1,j0,0,0,0,0,i1,48,256,4,3,403,1.3598198890686035
1,4,128,i1,i0,j1,k1,k0,j0,1,1,0,0,i1,48,16,0,13,13,1.3962352275848389
4,256,32,i1,i0,k1,j1,k0,j0,0,1,0,0,i1,48,8,8,33,833,1.346989631652832
4,8,64,i1,i0,k1,k0,j1,j0,1,0,0,0,i1,48,32,1,23,123,1.3397008180618286
2,32,16,i1,k1,i0,k0,j1,j0,0,0,0,0,i1,48,128,0,23,23,1.3743951320648193
8,128,32,i1,i0,k1,j1,k0,j0,0,1,0,0,i1,48,4,16,33,1633,1.3443464040756226
2,64,32,i1,i0,k1,j1,k0,j0,0,1,0,0,i1,48,8,16,33,1633,1.3923968076705933
4,16,32,i1,i0,k1,j1,k0,j0,1,1,0,0,i1,48,4,16,33,1633,1.3814538717269897
8,16,64,i1,j1,i0,k1,k0,j0,1,0,0,0,i1,48,2,24,33,2433,1.6216195821762085
8,256,32,i1,i0,k1,j1,k0,j0,0,0,0,0,i1,48,4,32,13,3213,1.3923810720443726
32,128,16,i1,i0,k1,j1,k0,j0,1,0,0,0,i1,48,1,16,13,1613,1.4030545949935913
8,4,32,i1,i0,k1,j1,k0,j0,0,1,0,0,i1,48,8,4,33,433,1.3456048965454102
1,32,128,i1,k1,i0,k0,j1,j0,1,1,0,0,i1,48,128,0,3,3,1.3823295831680298
8,4,32,i1,i0,k1,k0,j1,j0,0,0,0,0,i1,48,32,1,23,123,1.3581141233444214
8,4,64,i1,i0,k1,j1,k0,j0,0,0,0,0,i1,48,8,4,13,413,1.35438871383667
16,2,64,i1,j1,i0,k1,k0,j0,1,1,0,0,i1,48,16,2,13,213,1.3453073501586914
1,8,128,i1,i0,k1,j1,k0,j0,0,1,0,0,i1,48,16,0,33,33,1.4394692182540894
4,256,64,i1,j1,k1,i0,k0,j0,0,1,0,0,i1,48,64,16,33,1633,1.3634417057037354
16,4,32,i1,i0,k1,j1,k0,j0,0,1,0,0,i1,48,4,16,33,1633,1.4500072002410889
8,64,4,i1,i0,k1,k0,j1,j0,1,0,0,0,i1,48,64,8,23,823,1.3473305702209473
4,128,128,i1,i0,k1,k0,j1,j0,1,0,0,0,i1,48,64,8,23,823,1.3137251138687134
4,32,128,i1,i0,k1,k0,j1,j0,0,0,0,0,i1,48,64,2,23,223,1.2981618642807007
4,32,128,i1,j1,k1,i0,k0,j0,1,1,0,0,i1,48,64,2,33,233,1.3333070278167725
4,32,128,i1,j1,k1,k0,i0,j0,0,0,0,0,i1,48,64,2,3,203,1.339769721031189
4,32,128,i1,k1,j1,i0,k0,j0,1,0,0,0,i1,48,128,1,13,113,1.3267707824707031
4,32,4,i1,i0,k1,k0,j1,j0,0,0,0,0,i1,48,256,0,23,23,1.3085535764694214
